"","subject","correct_judgment","button_expected","pic_file","trial","button_pressed","button_press_time","display_on_time","rt","response_accuracy","particle","version","sentence","logRT","foc","congruence"
"1","v1p1","no","2","1_filler-no_Trgt-3_eat.png","33","2","623233.00","620993.17",2239,"correct","filler","1","Miś zjadł parę arbuzów.",7.71378461659875,"obj","incongruent"
"2","v1p1","no","2","1_most-no-sfof_trgt6_eat.png","14","2","328572.00","326810.20",1761,"correct","most","1","Najwięcej pies zjadł rogalików.",7.47363710849621,"obj","incongruent"
"3","v1p1","no","2","10_filler-no_Trgt-3_find.png","71","2","1080798.00","1077133.39",3664,"correct","filler","1","Miś znalazł cztery wieszaki.",8.20631072579402,"obj","incongruent"
"4","v1p1","no","2","10_most-no-sfof_trgt3_find.png","8","2","269219.00","267030.36",2188,"correct","most","1","Najwięcej zegarków znalazł pies.",7.69074316354187,"subj","incongruent"
"5","v1p1","no","2","11_filler-no_Trgt-5_catch.png","94","2","1367758.00","1363716.80",4041,"correct","filler","1","Pies złapał kilka żabek.",8.30424746507847,"obj","incongruent"
"6","v1p1","no","2","11_obj-nichtnur-no_trgt5_catch.png","86","2","1291549.00","1287937.86",3611,"correct","only","1","Królik złapał nie tylko motyle.",8.19174002127746,"obj","incongruent"
"7","v1p1","no","2","12_filler-no_Trgt-6_catch.png","78","2","1148472.00","1145996.07",2475,"correct","filler","1","Osioł złapał cztery pająki.",7.81399567500279,"obj","incongruent"
"8","v1p1","no","2","12_subj-nichtnur-no_trgt3_catch.png","36","2","658355.00","655757.81",2597,"correct","only","1","Piłki złapał nie tylko osioł.",7.86211221166275,"subj","incongruent"
"9","v1p1","no","2","13_filler-no_Trgt-5_bring.png","70","2","1069836.00","1068167.26",1668,"correct","filler","1","Pies przyniósł trzy linijki.",7.41938058291869,"obj","incongruent"
"10","v1p1","no","2","13_most-no-sfof_trgt5_bring.png","11","2","298562.00","296378.65",2183,"correct","most","1","Najwięcej lew przyniósł gwoździ.",7.68845535654994,"obj","incongruent"
"11","v1p1","no","2","14_filler-no_Trgt-3_bring.png","20","4","398547.00","395672.89",2874,"incorrect","filler","1","Lew przyniósł pięć siekierek.",7.96346006663897,"obj","incongruent"
"12","v1p1","no","2","14_most-no-sfof_trgt5_bring.png","81","2","1237541.00","1234457.61",3083,"correct","most","1","Najwięcej ołówków przyniósł prosiaczek.",8.03365842788615,"subj","incongruent"
"13","v1p1","no","2","15_filler-no_Trgt-6_paint.png","37","2","667250.00","664657.29",2592,"correct","filler","1","Prosiaczek namalował pięć krzyżyków.",7.86018505747217,"obj","incongruent"
